,Dataset,Parallelism,Level,Queries,Avg. MSE,Std. MSE,Avg. Time,Std. Time
56,RossmanSales,DNQ,F,200,0.17976338849405504,0.0020595813428158113,2.018638404016383,0.5250661255588168
57,RossmanSales,Pipeline,C,400,0.6446485464976087,0.004612603433973523,6.0798264756333085,0.5385948110409571
58,RossmanSales,Pipeline,M,400,0.5915215977741679,0.026204460805956356,5.7851222316036,0.5315433326547689
59,RossmanSales,Pipeline,F,400,0.449208197156274,0.0058711467470808415,5.782842906005681,0.5451334194938253
60,PanamaEnergy,AR-8,C,320400,0.8942913098756865,0.3299332565178928,2715.333191971411,17.427676576447965
61,PanamaEnergy,AR-8,M,10800,0.2126343464972678,0.01929491040391341,93.13084199503064,0.5448681808557052
62,PanamaEnergy,AR-8,F,320400,0.1583456227829505,0.0020060222698368786,2802.3844275543934,28.158024161004185
63,PanamaEnergy,AR-16,C,160200,1.074965881607012,0.024298177203127703,1394.782180969231,0.6890282852118417
64,PanamaEnergy,AR-16,M,6000,0.3690031295396111,0.03389575561845548,52.019043962378056,0.6192785660787347
65,PanamaEnergy,AR-16,F,160200,0.16786680353770977,0.0027427742480632543,1390.0808090687963,14.84118651560418
66,PanamaEnergy,AR-32,C,80000,1.0708744313359029,0.023951168981898866,680.8195055343909,2.491133818671449
67,PanamaEnergy,AR-32,M,3600,0.9669507288463166,0.07283127060689856,31.811107247043402,0.4704290341537619
68,PanamaEnergy,AR-32,F,80000,0.2111780607815401,0.0025238130672871665,669.1768523303792,4.1893786593015445
69,PanamaEnergy,DNQ,C,200,1.0508692148323955,0.037096741843563305,2.2969423753907905,0.5397166526016236
70,PanamaEnergy,DNQ,M,200,0.6147391053225534,0.09069693929250035,2.271407937002368,0.5221307572608407
71,PanamaEnergy,DNQ,F,200,0.20772051461571114,0.008182077291337039,2.2714299191720784,0.5271310764439998
72,PanamaEnergy,Pipeline,C,2600,1.0081691404878117,0.020708881380082873,42.99588210759684,0.42598490238731906
73,PanamaEnergy,Pipeline,M,2600,0.5092084025361595,0.040944113994031854,40.94846877900418,0.5796966488770366
74,PanamaEnergy,Pipeline,F,2600,0.17900137205129668,0.003284485696904125,40.855855787405744,0.4640704943292298
