,Dataset,Method,Level,Avg. MSE,Std. MSE
74,RossmanSales,TSDiff-1.0,C,0.68791245936666,0.006565588445450782
75,RossmanSales,TSDiff-2.0,C,0.7595032810229121,0.010717332205021222
76,RossmanSales,Pipe-1,C,0.6547921340553481,0.01157986909265793
77,RossmanSales,Pipe-8,C,0.6157779211218447,0.0053467846321799154
78,RossmanSales,Pipe-16,C,0.590446360595786,0.01157794310132782
79,RossmanSales,Pipe-32,C,0.6183518217650822,0.008725059518965347
80,RossmanSales,TSDiff-0,M,0.970992964821168,0.036769069797191356
81,RossmanSales,TSDiff-0.5,M,0.8270653812784434,0.03206720528976281
82,RossmanSales,TSDiff-1.0,M,0.7232766182417755,0.0073045973337333
83,RossmanSales,TSDiff-2.0,M,0.6373503153903555,0.025206318792241746
84,RossmanSales,Pipe-1,M,0.6273859611072443,0.03647839686995705
85,RossmanSales,Pipe-8,M,0.5700988230876938,0.02041477636872991
86,RossmanSales,Pipe-16,M,0.5522362873064655,0.03740107410766204
87,RossmanSales,Pipe-32,M,0.6111230070072503,0.02788266774159457
88,RossmanSales,TSDiff-0,F,0.29838165000720895,0.006204793836087223
89,RossmanSales,TSDiff-0.5,F,0.45803772863253817,0.01105034792610603
90,RossmanSales,TSDiff-1.0,F,0.27618009006730854,0.0043421209601085566
91,RossmanSales,TSDiff-2.0,F,0.3944869032662256,0.0074849995781838255
92,RossmanSales,Pipe-1,F,0.4453609615031868,0.004211179381047026
93,RossmanSales,Pipe-8,F,0.20782791852800991,0.004965005058528557
94,RossmanSales,Pipe-16,F,0.18975228655447393,0.0013288657299015247
95,RossmanSales,Pipe-32,F,0.1797506810235212,0.0014724639145516365
96,PanamaEnergy,TSDiff-0,C,1.4048474320609847,0.011323232795446328
97,PanamaEnergy,TSDiff-0.5,C,1.6670438744195377,0.004555742430368547
98,PanamaEnergy,TSDiff-1.0,C,2.105279429627251,0.0029189696166728816
99,PanamaEnergy,TSDiff-2.0,C,1.4103996520133413,0.008417411476413915
100,PanamaEnergy,Pipe-1,C,1.0284894656547146,0.01419718087355017
101,PanamaEnergy,Pipe-8,C,1.0160229322265513,0.0125513147557825
102,PanamaEnergy,Pipe-16,C,1.0307181555047786,0.014968898744064625
103,PanamaEnergy,Pipe-32,C,1.0726173649651476,0.0215508399118864
104,PanamaEnergy,TSDiff-0,M,2.1708450095185006,0.09226203612652034
105,PanamaEnergy,TSDiff-0.5,M,1.1792735102913467,0.060624175438311285
106,PanamaEnergy,TSDiff-1.0,M,1.798262521411835,0.03288381420380388
107,PanamaEnergy,TSDiff-2.0,M,2.5377848085965176,0.03947509138809263
108,PanamaEnergy,Pipe-1,M,0.37664472349471795,0.08808400222274425
109,PanamaEnergy,Pipe-8,M,0.511441053110522,0.10198171232257176
110,PanamaEnergy,Pipe-16,M,0.6370609717598529,0.13390199063798805
111,PanamaEnergy,Pipe-32,M,0.7201684817496586,0.05018508957346073
112,PanamaEnergy,TSDiff-0,F,0.36907508597045435,0.0012492294912341852
113,PanamaEnergy,TSDiff-0.5,F,0.46883570288979043,0.0018568592328336096
114,PanamaEnergy,TSDiff-1.0,F,0.406997067227605,0.0011048753662849151
115,PanamaEnergy,TSDiff-2.0,F,0.46915863675348524,0.0010236962889183588
116,PanamaEnergy,Pipe-1,F,0.1789284572651227,0.0024438372701452967
117,PanamaEnergy,Pipe-8,F,0.17670300074461698,0.002437355483698183
118,PanamaEnergy,Pipe-16,F,0.18380327740278943,0.0033183147209579957
119,PanamaEnergy,Pipe-32,F,0.21208958442984086,0.004252898638059954
